pdb_idx,txgnn_idx
0,22167
1,9194
2,14049
3,11698
4,18772
5,26062
6,19069
7,9213
8,20443
9,17128
10,27203
11,13133
12,15218
13,22353
14,6933
15,6933
16,16744
17,13115
18,20323
19,22810
20,22680
21,9214
22,11268
23,14049
24,22409
25,5650
26,4027
27,22161
28,23368
29,8312
30,13182
31,17846
32,16103
33,27425
34,13307
35,14113
36,22300
37,16525
38,18057
39,19302
40,22354
41,13452
42,17710
43,19679
44,22887
45,10572
46,15201
47,17775
48,19300
49,12883
50,22604
51,8766
52,20166
53,20462
54,13319
55,6453
56,7571
57,11698
58,11654
59,14137
60,9194
61,9194
62,12901
63,8938
64,23362
65,23362
66,23362
67,17791
68,13182
69,7240
70,7373
71,17796
72,20401
73,7437
74,7437
75,22209
76,10820
77,25115
78,9352
79,8865
80,9537
81,3315
82,17827
83,20727
84,13073
85,23954
86,22887
87,6453
88,9520
89,22316
90,16534
91,20761
92,2963
93,16034
94,16974
95,9215
96,26156
97,16987
98,14436
99,13974
100,9125
101,14049
102,27548
103,22893
104,16986
105,23954
106,23339
107,26572
108,8725
109,8725
110,14049
111,7101
112,16577
113,14049
114,26686
115,13233
116,22325
117,13351
118,13219
119,26136
120,19349
121,22801
122,7117
123,7117
124,9112
125,6201
126,5715
127,7859
128,14049
129,13237
130,19050
131,16059
132,16033
133,14600
134,23391
135,22826
136,22826
137,12876
138,17704
139,22720
140,23003
141,16780
142,22067
143,22409
144,11522
145,23454
146,14049
147,23323
148,12899
149,8877
150,8877
151,13893
152,15904
153,9201
154,22097
155,15828
156,17067
157,26139
158,16772
159,9533
160,9533
161,9533
162,26043
163,20305
164,16450
165,8691
166,20170
167,17803
168,9824
169,20746
170,7977
171,27593
172,7773
173,7773
174,20419
175,22702
176,25268
177,27030
178,20274
179,16741
180,16742
181,17062
182,8922
183,19300
184,8596
185,8624
186,9536
187,16016
188,17675
189,6726
190,16744
191,18075
192,26062
193,16734
194,16410
195,9526
196,7373
197,26783
198,8870
199,25917
200,16742
201,27602
202,16410
203,9895
204,7950
205,14231
206,9162
207,9162
208,7434
209,23379
210,16721
211,9533
212,9533
213,8252
214,8865
215,20822
216,9217
217,21535
218,12707
219,1492
220,7380
221,22800
222,9328
223,15218
224,15901
225,27284
226,21719
227,21719
228,26090
229,16056
230,15805
231,25749
232,15980
233,20430
234,20171
235,26016
236,8467
237,8467
238,2873
239,12880
240,16988
241,12901
242,12901
243,10738
244,23380
245,12722
246,9816
247,19349
248,26062
249,14049
250,16020
251,15995
252,8462
253,22816
254,10218
255,13063
256,16774
257,16774
258,17774
259,22827
260,9536
261,14049
262,8877
263,5880
264,15971
265,22718
266,10188
267,11442
268,2943
269,20404
270,7818
271,9537
272,21728
273,16011
274,22725
275,13199
276,16412
277,22658
278,8878
279,16974
280,19348
281,22739
282,9533
283,17712
284,22698
285,20176
286,7789
287,25846
288,8647
289,5843
290,22037
291,19374
292,5509
293,9545
294,20821
295,12664
296,23380
297,12664
298,21864
299,12809
300,9075
301,25029
302,24592
303,26936
304,23522
305,22899
306,22158
307,23398
308,25978
309,25978
310,12809
311,26997
312,22836
313,15795
314,9694
315,17932
316,14049
317,22792
318,15937
319,16985
320,1190
321,20301
322,20323
323,20462
324,9711
325,14926
326,10755
327,8372
328,8372
329,11743
330,27593
331,8012
332,22374
333,22374
334,20901
335,3302
336,22116
337,26714
338,6690
339,22485
340,7773
341,16586
342,16584
343,22712
344,22665
345,17905
346,3928
347,3928
348,3928
349,18852
350,20720
351,20818
352,8291
353,22163
354,16783
355,17715
356,13185
357,13185
358,14049
359,15029
360,16585
361,15620
362,24607
363,22677
364,3928
365,14049
366,7977
367,7726
368,8872
369,25748
370,4058
371,26572
372,17925
373,9669
374,3672
375,20313
376,13157
377,22176
378,27448
379,25977
380,15905
381,16031
382,20271
383,21784
384,22833
385,14039
386,9123
387,9531
388,22104
389,10270
390,14144
391,12900
392,17396
393,6308
394,13127
395,10285
396,25122
397,20678
398,19713
399,22355
400,7789
401,14049
402,16534
403,26032
404,18252
405,14049
406,14552
407,26568
408,8467
409,8467
410,22486
411,7899
412,22776
413,14253
414,13975
415,14049
416,3355
417,15809
418,2873
419,27345
420,23412
421,9539
422,20401
423,8778
424,13182
425,8290
426,5292
427,25585
428,7242
429,17651
430,26660
431,9204
432,20677
433,14255
434,22680
435,19437
436,12840
437,22661
438,25414
439,17109
440,24141
441,8464
442,8865
443,22778
444,22778
445,22778
446,20593
447,16996
448,13220
449,22176
450,15191
451,14151
452,26163
453,24597
454,20378
455,14444
456,8491
457,24696
458,20408
459,22770
460,7962
461,27117
462,15229
463,22397
464,11427
465,15620
466,9174
467,22168
468,16032
469,22391
470,17747
471,12837
472,14135
473,22160
474,20566
475,23283
476,12837
477,22665
478,20858
479,24615
480,18232
481,24204
482,3752
483,9878
484,8386
485,2963
486,16390
487,22048
488,22048
489,15995
490,15585
491,16729
492,14209
493,19878
494,20578
495,23478
496,8290
497,23380
498,20401
499,16585
500,22397
501,8938
502,17026
503,3908
504,2782
505,25748
506,24607
507,15599
508,22179
509,23390
510,14049
511,14049
512,14049
513,14049
514,7260
515,17797
516,15780
517,11403
518,24825
519,13199
520,22347
521,22893
522,20170
523,24204
524,16504
525,8818
526,9201
527,14331
528,14049
529,16803
530,3903
531,23316
532,27061
533,23954
534,17546
535,22693
536,9646
537,16566
538,11670
539,7797
540,17871
541,22168
542,11079
543,15905
544,22160
545,23362
546,3793
547,13169
548,17827
549,17827
550,16919
551,8353
552,16028
553,6927
554,20084
555,4047
556,17128
557,20152
558,12809
559,9974
560,21199
561,25427
562,20296
563,17062
564,10270
565,15901
566,14113
567,20397
568,15218
569,8692
570,8692
571,9328
572,9159
573,6431
574,14155
575,22703
576,7789
577,13241
578,12707
579,3338
580,12953
581,26180
582,15620
583,9687
584,17604
585,15599
586,5175
587,8703
588,19955
589,13431
590,21955
591,13348
592,14551
593,10111
594,27165
595,26022
596,14926
597,27165
598,13240
599,17803
600,6783
601,22792
602,24825
603,16557
604,11055
605,16932
606,19171
607,11676
608,25535
609,14049
610,21471
611,14049
612,24141
613,22329
614,24141
615,15798
616,14284
617,26234
618,9194
619,14049
620,15933
621,5696
622,15901
623,16046
624,3496
625,22409
626,22152
627,8712
628,13508
629,15799
630,16509
631,24576
632,16516
633,11654
634,9212
635,14047
636,8738
637,20401
638,13064
639,13767
640,20281
641,16695
642,14143
643,20557
644,14302
645,26030
646,19369
647,10111
648,22347
649,9533
650,10996
651,18189
652,18722
653,7882
654,22776
655,3
656,20843
657,4046
658,16065
659,16666
660,27593
661,16669
662,13974
663,15029
664,16516
665,9950
666,15794
667,17682
668,14401
669,16729
670,13131
671,24830
672,12876
673,18511
674,3492
675,20815
676,12675
677,7117
678,20739
679,13448
680,5317
681,16782
682,25885
683,22837
684,22121
685,9546
686,14031
687,22409
688,16744
689,3922
690,7977
691,26856
692,17546
693,22800
694,17109
695,10996
696,13354
697,17546
698,10198
699,7105
700,22740
701,13131
702,15834
703,15834
704,15834
705,15834
706,12936
707,20323
708,22135
709,18138
710,25756
711,10233
712,16585
713,16585
714,26065
715,26065
716,25875
717,22793
718,23354
719,12829
720,7372
721,3926
722,27428
723,9186
724,12900
725,16683
726,16918
727,3
728,6957
729,22160
730,11292
731,5178
732,13974
733,14049
734,14049
735,5157
736,14049
737,14049
738,27587
739,13098
740,13098
741,15560
742,21864
743,16804
744,5403
745,15136
746,14047
747,22179
748,10996
749,17924
750,22778
751,20335
752,10872
753,10111
754,10111
755,17546
756,7661
757,15826
758,22724
759,9878
760,13354
761,12876
762,14144
763,24204
764,9674
765,7378
766,7117
767,17767
768,17109
769,7104
770,11598
771,10012
772,16033
773,17711
774,17734
775,13170
776,26973
777,10426
778,22354
779,6293
780,17684
781,17796
782,17867
783,18075
784,18075
785,27226
786,5459
787,14049
788,21177
789,22678
790,22125
791,13313
792,13313
793,19878
794,20280
795,27580
796,7317
797,22691
798,7104
799,7104
800,16670
801,15029
802,9636
803,6899
804,9549
805,22328
806,25518
807,4071
808,23466
809,5317
810,10147
811,8712
812,5466
813,27135
814,17584
815,16011
816,17871
817,22097
818,27557
819,22169
820,3640
821,9227
822,23362
823,23362
824,5400
825,3492
826,16780
827,14326
828,14326
829,7540
830,17908
831,9201
832,5380
833,5380
834,3640
835,13368
836,9125
837,20739
838,19702
839,17737
840,7121
841,15981
842,26303
843,22820
844,14261
845,9543
846,9543
847,23396
848,13469
849,20347
850,17775
851,16446
852,17810
853,24696
854,14256
855,23954
856,24821
857,9636
858,7789
859,10833
860,22169
861,26345
862,20328
863,9585
864,24483
865,11418
866,25762
867,20296
868,14394
869,21719
870,21719
871,22827
872,19412
873,19054
874,12876
875,11669
876,24961
877,15209
878,23364
879,10272
880,8738
881,23390
882,20176
883,25959
884,10924
885,20256
886,19762
887,17791
888,12897
889,16038
890,14012
891,7101
892,7625
893,14147
894,9636
895,17930
896,20157
897,4071
898,20462
899,20287
900,20297
901,22358
902,16021
903,14049
904,17712
905,21535
906,23466
907,20273
908,24843
909,20556
910,6582
911,14600
912,14405
913,16593
914,5399
915,5499
916,15794
917,13148
918,17871
919,18428
920,22179
921,22179
922,13242
923,13231
924,19218
925,13194
926,9213
927,22793
928,17797
929,15980
930,9200
931,9200
932,22179
933,14049
934,22347
935,22347
936,2
937,21471
938,25122
939,6335
940,11686
941,11686
942,13147
943,22737
944,25400
945,17750
946,16022
947,17972
948,8712
949,16799
950,6927
951,17423
952,22329
953,7859
954,13351
955,14534
956,23362
957,17414
958,22121
959,22163
960,22179
961,10147
962,27602
963,21787
964,16683
965,10572
966,9147
967,20411
968,13987
969,5459
970,11490
971,20281
972,23720
973,23720
974,24898
975,14256
976,14049
977,5756
978,18958
979,12876
980,13351
981,23892
982,7188
983,19330
984,23415
985,27571
986,24738
987,20182
988,19348
989,22397
990,22381
991,22381
992,22397
993,19098
994,22788
995,15620
996,27406
997,27406
998,22409
999,22688
1000,22896
1001,14047
1002,16728
1003,22770
1004,15576
1005,9194
1006,22700
1007,14535
1008,22770
1009,16735
1010,20279
1011,17796
1012,10909
1013,22770
1014,15935
1015,21928
1016,20261
1017,20261
1018,8237
1019,12233
1020,17924
1021,17676
1022,22397
1023,17148
1024,6074
1025,10060
1026,23412
1027,3631
1028,24928
1029,13307
1030,13307
1031,13307
1032,7303
1033,19300
1034,26295
1035,14448
1036,2980
1037,23477
1038,19300
1039,22149
1040,26927
1041,5898
1042,5898
1043,6188
1044,15798
1045,7514
1046,22737
1047,2
1048,17972
1049,9950
1050,17240
1051,16398
1052,9493
1053,6739
1054,14049
1055,22179
1056,16996
1057,21864
1058,27482
1059,27482
1060,27482
1061,10792
1062,4058
1063,17208
1064,13810
1065,26154
1066,18283
1067,8862
1068,20042
1069,22360
1070,27163
1071,9816
1072,20335
1073,16996
1074,22030
1075,25418
1076,17830
1077,17126
1078,27114
1079,15993
1080,9687
1081,11669
1082,22376
1083,24764
1084,9642
1085,27482
1086,14551
1087,11240
1088,16121
1089,5403
1090,17546
1091,16022
1092,3302
1093,23731
1094,22358
1095,8870
1096,19122
1097,7082
1098,7082
1099,27425
1100,23541
1101,23339
1102,13194
1103,13194
1104,10764
1105,21761
1106,21761
1107,19499
1108,18949
1109,22820
1110,9328
1111,11415
1112,8467
1113,17366
1114,17366
1115,23999
1116,9698
1117,16439
1118,9674
1119,10111
1120,11063
1121,20763
1122,15191
1123,2183
1124,11679
1125,25380
1126,22710
1127,11482
1128,8597
1129,18701
1130,9762
1131,25574
1132,7378
1133,21196
1134,19862
1135,23384
1136,22481
1137,7402
1138,8250
1139,11579
1140,22662
1141,8738
1142,20634
1143,13126
1144,20401
1145,5293
1146,9674
1147,12749
1148,22118
1149,11984
1150,6933
1151,11656
1152,7101
1153,13239
1154,23723
1155,26779
1156,17369
